Nickname,Name,Weight Class,Record
"""The Insane""",Cain Carrizosa,"""The Insane""",6-2-0 (W-L-D)
"""Mr. International""",Shonie Carter,"""Mr. International""",66-14-7 (W-L-D)
,Jack Cartwright,Bantamweight,0-1-0 (W-L-D)
"""Pato""",Antonio Carvalho,"""Pato""",15-6-0 (W-L-D)
,Shane Carwin,Heavyweight,12-2-0 (W-L-D)
"""Hollywood""",Johnny Case,"""Hollywood""",22-6-0 (W-L-D)
"""King""",Kevin Casey,"""King""",9-5-1 (W-L-D)
,Duane Cason,Heavyweight,0-0-0 (W-L-D)
"""Sexi Mexi""",John Castaneda,"""Sexi Mexi""",21-7-0 (W-L-D)
,Gil Castillo,Welterweight,17-2-0 (W-L-D)
"""Last Call""",Danny Castillo,"""Last Call""",17-10-0 (W-L-D)
"""The Jersey Devil""",Nick Catone,"""The Jersey Devil""",10-4-0 (W-L-D)
"""Lil' Hulk""",Luke Caudillo,"""Lil' Hulk""",15-8-0 (W-L-D)
"""Feijao""",Rafael Cavalcante,"""Feijao""",12-7-0 (W-L-D)
"""Jycken""",Magnus Cedenblad,"""Jycken""",14-5-0 (W-L-D)
"""The Pink Panther""",Yosdenis Cedeno,"""The Pink Panther""",10-5-0 (W-L-D)
"""Triple C""",Henry Cejudo,"""Triple C""",16-4-0 (W-L-D)
,Adam Cella,Middleweight,4-1-0 (W-L-D)
,Vinicius Cenci,Lightweight,0-1-0 (W-L-D)
,Alberta Cerra,Heavyweight,0-0-0 (W-L-D)
"""Cowboy""",Donald Cerrone,"""Cowboy""",36-17-0 (W-L-D)
"""Tarzan""",Luan Chagas,"""Tarzan""",15-2-1 (W-L-D)
"""Pitbull """,Edgar Chairez,"""Pitbull """,11-5-0 (W-L-D)
,Ansar Chalangov,Welterweight,7-2-0 (W-L-D)
"""Iron""",Michael Chandler,"""Iron""",23-8-0 (W-L-D)
,Donnie Chappell,Lightweight,0-0-0 (W-L-D)
,Joe Charles,Heavyweight,0-0-0 (W-L-D)
"""The Last Pirate""",Morgan Charriere,"""The Last Pirate""",19-10-1 (W-L-D)
"""The Colombian Warrior""",Danny Chavez,"""The Colombian Warrior""",11-5-1 (W-L-D)
"""The Mad Titan""",Ernest Chavez,"""The Mad Titan""",8-2-0 (W-L-D)
"""Zangief""",Gabriel Checco,"""Zangief""",10-2-0 (W-L-D)
,Albert Cheng,Welterweight,2-4-0 (W-L-D)
"""Water Buffalo""",Fabio Cherant,"""Water Buffalo""",7-4-0 (W-L-D)
"""The Pride of Bloomfield""",Mark Cherico,"""The Pride of Bloomfield""",11-2-0 (W-L-D)
"""Maverick""",Michael Chiesa,"""Maverick""",18-7-0 (W-L-D)
"""Ninja""",Giga Chikadze,"""Ninja""",15-3-0 (W-L-D)
"""Borz""",Khamzat Chimaev,"""Borz""",13-0-0 (W-L-D)
"""The Psycho""",Sako Chivitchian,"""The Psycho""",5-1-0 (W-L-D)
"""Sting""",Seungwoo Choi,"""Sting""",10-6-0 (W-L-D)
,SeungGuk Choi,Flyweight,7-3-0 (W-L-D)
"""The Korean Superboy""",Dooho Choi,"""The Korean Superboy""",14-4-1 (W-L-D)
,John Cholish,Lightweight,8-3-0 (W-L-D)
"""Piranha""",Ryo Chonan,"""Piranha""",15-10-0 (W-L-D)
"""The Kill""",Will Chope,"""The Kill""",19-6-0 (W-L-D)
,Joachim Christensen,Light Heavyweight,14-6-0 (W-L-D)
"""The Sandman""",Dan Christison,"""The Sandman""",8-5-0 (W-L-D)
,Anthony Christodoulou,Lightweight,12-6-0 (W-L-D)
"""The Korean Bulldozer""",Yui Chul Nam,"""The Korean Bulldozer""",18-6-1 (W-L-D)
,Cameron Church,Lightweight,0-1-0 (W-L-D)
"""Mike C""",Mike Ciesnolevicz,"""Mike C""",18-4-1 (W-L-D)
,Misha Cirkunov,Light Heavyweight,15-9-0 (W-L-D)
"""Brown Bear""",Devin Clark,"""Brown Bear""",14-9-0 (W-L-D)
,Laverne Clark,Welterweight,0-0-0 (W-L-D)
"""The Pink Pounder""",Logan Clark,"""The Pink Pounder""",9-0-0 (W-L-D)
"""Danger Zone""",Mitch Clarke,"""Danger Zone""",11-5-0 (W-L-D)
"""No Love""",Rich Clementi,"""No Love""",40-14-1 (W-L-D)
"""The Menace""",Chris Clements,"""The Menace""",12-5-0 (W-L-D)
,Mark Climaco,Flyweight,1-1-0 (W-L-D)
"""The Gentleman""",Josh Clopton,"""The Gentleman""",6-2-1 (W-L-D)
"""The Bandit""",Brian Cobb,"""The Bandit""",15-5-0 (W-L-D)
,John Cofer,Lightweight,7-4-0 (W-L-D)
"""Cabocao""",Felipe Colares,"""Cabocao""",10-4-0 (W-L-D)
"""The Truth""",Coltin Cole,"""The Truth""",0-0-0 (W-L-D)
,Chandler Cole,Heavyweight,0-1-0 (W-L-D)
"""The Hammer""",Mark Coleman,"""The Hammer""",16-10-0 (W-L-D)
"""Cassius""",Clay Collard,"""Cassius""",14-7-0 (W-L-D)
"""The Prototype""",Jake Collier,"""The Prototype""",13-10-0 (W-L-D)
"""Godzilla""",Christian Colombo,"""Godzilla""",8-3-1 (W-L-D)
"""The Soldier""",Wes Combs,"""The Soldier""",12-2-0 (W-L-D)
"""The Natural Born Killer""",Carlos Condit,"""The Natural Born Killer""",32-14-0 (W-L-D)
,Chris Condo,Heavyweight,0-0-0 (W-L-D)
"""Boondock""",Tristan Connelly,"""Boondock""",14-8-0 (W-L-D)
,Marcos Conrado Junior,Heavyweight,0-0-0 (W-L-D)
,Bob Cook,Lightweight,0-0-0 (W-L-D)
"""C-Murder""",Chris Cope,"""C-Murder""",5-4-0 (W-L-D)
"""Havoc""",Kit Cope,"""Havoc""",0-0-0 (W-L-D)
"""Cuddly Bear""",Josh Copeland,"""Cuddly Bear""",9-2-0 (W-L-D)
,Michael Cora,Welterweight,4-2-0 (W-L-D)
,Akira Corassani,Featherweight,14-7-1 (W-L-D)
"""Hamma""",Cory Corbin,"""Hamma""",0-0-0 (W-L-D)
"""DC""",Daniel Cormier,"""DC""",22-3-0 (W-L-D)
"""Puerto Rican Rambo""",Jonathan Correa,"""Puerto Rican Rambo""",0-0-0 (W-L-D)
"""Cabbage""",Wesley Correira,"""Cabbage""",14-8-0 (W-L-D)
"""Salsa Boy""",Waldo Cortes Acosta,"""Salsa Boy""",12-1-0 (W-L-D)
,Reyes Cortez,Bantamweight,0-2-0 (W-L-D)
"""Galaxy""",Orion Cosce,"""Galaxy""",8-2-0 (W-L-D)
,Louis Cosce,Welterweight,7-2-0 (W-L-D)
"""The Zohan""",Randy Costa,"""The Zohan""",6-4-0 (W-L-D)
"""Melk Cauthy""",Melquizael Costa,"""Melk Cauthy""",20-7-0 (W-L-D)
"""Nono""",Alessandro Costa,"""Nono""",14-4-0 (W-L-D)
,Davi Costa,Flyweight,0-0-0 (W-L-D)
"""The Eraser""",Paulo Costa,"""The Eraser""",14-4-0 (W-L-D)
"""Elevation""",Oscar Cota,"""Elevation""",10-2-0 (W-L-D)
"""The Predator""",Patrick Cote,"""The Predator""",24-11-0 (W-L-D)
"""Superstar""",J.C. Cottrell,"""Superstar""",17-5-0 (W-L-D)
,JR Coughran,Featherweight,4-1-0 (W-L-D)
"""Daywalker""",Rashad Coulter,"""Daywalker""",9-4-0 (W-L-D)
,Ryan Couture,Lightweight,6-3-0 (W-L-D)
"""The Natural""",Randy Couture,"""The Natural""",19-11-0 (W-L-D)
"""Chaos""",Colby Covington,"""Chaos""",17-4-0 (W-L-D)
"""The Grinder""",Jeff Cox,"""The Grinder""",14-5-0 (W-L-D)
"""Soulforce""",Nathan Coy,"""Soulforce""",15-7-0 (W-L-D)
"""BearJew""",Paul Craig,"""BearJew""",17-8-1 (W-L-D)
"""Highlight""",Andrew Craig,"""Highlight""",9-4-0 (W-L-D)
,Dan Cramer,Welterweight,1-1-0 (W-L-D)
,Alberto Crane,Lightweight,8-2-0 (W-L-D)
"""Crazy""",Tim Credeur,"""Crazy""",13-6-0 (W-L-D)
,Paul Creighton,Lightweight,5-1-0 (W-L-D)
,Mirko Cro Cop,Heavyweight,31-11-2 (W-L-D)
,Edilberto Crocota,Welterweight,10-1-1 (W-L-D)
"""Crash""",Kevin Croom,"""Crash""",21-15-0 (W-L-D)
"""BDK""",Kiefer Crosbie,"""BDK""",10-4-0 (W-L-D)
,Kenneth Cross,Lightweight,11-3-0 (W-L-D)
"""Pretty Boy""",Allen Crowder,"""Pretty Boy""",10-4-0 (W-L-D)
"""Detroit Superstar""",Daron Cruickshank,"""Detroit Superstar""",16-8-0 (W-L-D)
"""Cleat""",Richard Crunkilton Jr.,"""Cleat""",18-3-0 (W-L-D)
,Jimmy Crute,Light Heavyweight,12-4-1 (W-L-D)
,Aalon Cruz,Lightweight,8-4-0 (W-L-D)
"""Pe De Pano""",Marcio Cruz,"""Pe De Pano""",2-2-0 (W-L-D)
"""The Dominator""",Dominick Cruz,"""The Dominator""",24-4-0 (W-L-D)
"""Twilight """,Timmy Cuamba,"""Twilight """,8-2-0 (W-L-D)
"""MellowFellow""",Jay Cucciniello,"""MellowFellow""",9-1-0 (W-L-D)
,Emilio Cuellar,Flyweight,0-0-0 (W-L-D)
"""Kuya""",Josh Culibao,"""Kuya""",11-3-1 (W-L-D)
,Zak Cummings,Light Heavyweight,25-7-0 (W-L-D)
"""Durkin""",Patrick Cummins,"""Durkin""",10-7-0 (W-L-D)
"""The Silent Assassin""",Luke Cummo,"""The Silent Assassin""",9-6-0 (W-L-D)
,Hugo Cunha,Heavyweight,0-0-0 (W-L-D)
"""The Bo-Man""",Alton Cunningham,"""The Bo-Man""",7-2-0 (W-L-D)
"""The  Savage""",AJ Cunningham,"""The  Savage""",11-4-0 (W-L-D)
,Santo Curatolo,Flyweight,0-1-0 (W-L-D)
,Larry Cureton,,0-0-0 (W-L-D)
"""Big Frog""",Jeff Curran,"""Big Frog""",35-15-1 (W-L-D)
"""Action-Man""",Chris Curtis,"""Action-Man""",31-11-0 (W-L-D)
"""The Hulk""",Ion Cutelaba,"""The Hulk""",17-10-1 (W-L-D)
"""Poney""",Gleidson Cutis,"""Poney""",0-0-0 (W-L-D)
"""Gaucho""",Diego Henrique da Silva,"""Gaucho""",0-0-0 (W-L-D)
"""Leko""",Alex da Silva,"""Leko""",21-4-0 (W-L-D)
"""Frankenstein""",Henrique da Silva,"""Frankenstein""",12-4-0 (W-L-D)
,Henrique Da Silva Lopes,Heavyweight,0-0-0 (W-L-D)
"""Conan""",Marcus Da Silviera,"""Conan""",0-0-0 (W-L-D)
"""Danish Dynamite""",Nicolas Dalby,"""Danish Dynamite""",23-4-1 (W-L-D)
"""Semtex""",Paul Daley,"""Semtex""",29-12-2 (W-L-D)
,Leonardo Damiani,Welterweight,0-1-0 (W-L-D)
,Rodrigo Damm,Lightweight,12-9-0 (W-L-D)
"""Storm""",Batgerel Danaa,"""Storm""",12-5-0 (W-L-D)
,Peter Danesoe,Flyweight,1-1-0 (W-L-D)
"""Man Mountain""",Jarjis Danho,"""Man Mountain""",7-1-1 (W-L-D)
"""Cafe""",Alexandre Dantas,"""Cafe""",3-2-0 (W-L-D)
,Mac Danzig,Lightweight,22-12-1 (W-L-D)
,Beneil Dariush,Lightweight,22-6-1 (W-L-D)
,Sean Daughtery,,0-0-0 (W-L-D)
,Chris Daukaus,Light Heavyweight,12-7-0 (W-L-D)
,Kyle Daukaus,Middleweight,11-4-0 (W-L-D)
"""Killer B""",Brandon Davis,"""Killer B""",14-10-0 (W-L-D)
"""Beast Boy""",Mike Davis,"""Beast Boy""",11-2-0 (W-L-D)
"""Mr. Wonderful""",Phil Davis,"""Mr. Wonderful""",13-3-0 (W-L-D)
"""The Irish Hand Grenade""",Marcus Davis,"""The Irish Hand Grenade""",22-9-0 (W-L-D)
"""The Flying Squirrel""",Rick Davis,"""The Flying Squirrel""",3-1-1 (W-L-D)
"""Mean""",Hakeem Dawodu,"""Mean""",13-4-1 (W-L-D)
"""KGD""",Grant Dawson,"""KGD""",21-2-1 (W-L-D)
"""The Spartan""",Martin Day,"""The Spartan""",8-6-0 (W-L-D)
"""Dooms""",Jason Day,"""Dooms""",17-7-0 (W-L-D)
"""The Dream""",Angel De Anda,"""The Dream""",18-6-0 (W-L-D)
"""The Mad Titan""",Yorgan De Castro,"""The Mad Titan""",6-3-0 (W-L-D)
"""Barata (Cockroach)""",Rafael de Freitas,"""Barata (Cockroach)""",0-0-0 (W-L-D)
"""Spartan""",Geraldo de Freitas Jr.,"""Spartan""",12-6-0 (W-L-D)
,Phil De Fries,Heavyweight,9-3-0 (W-L-D)
,Chris De La Rocha,Heavyweight,5-3-0 (W-L-D)
"""Bumblebee""",Mark De La Rosa,"""Bumblebee""",11-5-0 (W-L-D)
"""El Cucuy""",Mike De La Torre,"""El Cucuy""",14-7-0 (W-L-D)
,Rodrigo de Lima,Lightweight,8-3-1 (W-L-D)
"""Pezao""",Marcos Rogerio de Lima,"""Pezao""",22-10-1 (W-L-D)
,Leonardo De Oliveira,Middleweight,0-0-0 (W-L-D)
"""Blade""",Jorge de Oliveira,"""Blade""",7-2-0 (W-L-D)
"""CJ""",Carls John De Tomas,"""CJ""",8-2-0 (W-L-D)
"""The Anishinaabe Kid""",Carl Deaton,"""The Anishinaabe Kid""",17-7-0 (W-L-D)
,Tom DeBlass,Middleweight,7-2-0 (W-L-D)
,Wallen Del Rosario,Flyweight,0-1-0 (W-L-D)
,Shane Del Rosario,Heavyweight,11-2-0 (W-L-D)
"""The Crazy Cuban""",Rolando Delgado,"""The Crazy Cuban""",8-5-1 (W-L-D)
"""Walking Trouble""",Ante Delija,"""Walking Trouble""",17-3-0 (W-L-D)
,Jack Della Maddalena,Welterweight,17-2-0 (W-L-D)
,Roland Delorme,Bantamweight,9-4-0 (W-L-D)
,Jason DeLucia,Middleweight,2-2-0 (W-L-D)
,Chris Dempsey,Middleweight,11-4-0 (W-L-D)
"""The Ninja of Love""",Nick Denis,"""The Ninja of Love""",11-3-0 (W-L-D)
"""Dynamite""",Jason Dent,"""Dynamite""",19-11-0 (W-L-D)
,Tony DeSouza,Welterweight,10-4-0 (W-L-D)
"""The Big Boy""",Robelis Despaigne,"""The Big Boy""",5-1-0 (W-L-D)
"""Babyface""",Edwin Dewees,"""Babyface""",34-10-0 (W-L-D)
"""Manzo""",Alessio Di Chirico,"""Manzo""",13-7-0 (W-L-D)
"""The Snake""",Cyrille Diabate,"""The Snake""",20-10-3 (W-L-D)
"""Bonecrusher""",Marc Diakiese,"""Bonecrusher""",17-7-0 (W-L-D)
,Blood Diamond,Welterweight,3-3-0 (W-L-D)
,Tyler Diamond,Featherweight,9-2-0 (W-L-D)
,Eldo Xavier Dias,,0-0-0 (W-L-D)
"""Crazy Horse""",Victor Dias,"""Crazy Horse""",8-0-0 (W-L-D)
,Hacran Dias,Lightweight,23-6-1 (W-L-D)
,Ozzy Diaz,Middleweight,0-1-0 (W-L-D)
,Adrian Diaz,Featherweight,11-5-1 (W-L-D)
,Nate Diaz,Welterweight,22-13-0 (W-L-D)
,Nick Diaz,Welterweight,26-11-0 (W-L-D)
,TJ Dillashaw,Bantamweight,18-5-0 (W-L-D)
,Jhonata Diniz,Heavyweight,7-0-0 (W-L-D)
,Rico DiSciullo,Bantamweight,9-3-0 (W-L-D)
,Matt Dixon,Welterweight,9-1-0 (W-L-D)
,Russell Doane,Bantamweight,15-8-0 (W-L-D)
,Drew Dober,Lightweight,27-13-0 (W-L-D)
,AJ Dobson,Middleweight,7-3-0 (W-L-D)
,David Dodd,Middleweight,0-0-0 (W-L-D)
"""The Magician""",John Dodson,"""The Magician""",22-12-0 (W-L-D)
"""El Dirte""",Joe Doerksen,"""El Dirte""",45-14-0 (W-L-D)
,Roman Dolidze,Middleweight,12-3-0 (W-L-D)
"""Money Man""",Cameron Dollar,"""Money Man""",5-3-0 (W-L-D)
"""The Doberman""",CB Dollaway,"""The Doberman""",18-10-0 (W-L-D)
"""Donnybrook""",Cody Donovan,"""Donnybrook""",8-5-0 (W-L-D)
,Houston Dorr,Heavyweight,0-0-0 (W-L-D)
,Rafael Dos Anjos,Lightweight,32-16-0 (W-L-D)
"""Berinja""",Anderson dos Santos,"""Berinja""",21-9-0 (W-L-D)
,Acacio dos Santos,Light Heavyweight,0-1-0 (W-L-D)
"""Junior Alpha""",Antonio dos Santos,"""Junior Alpha""",6-3-0 (W-L-D)
"""Capoeira""",Elizeu Zaleski dos Santos,"""Capoeira""",24-8-1 (W-L-D)
"""Mondragon""",Geronimo dos Santos,"""Mondragon""",31-14-0 (W-L-D)
"""Cigano""",Junior Dos Santos,"""Cigano""",21-9-0 (W-L-D)
"""Lipe Detona""",Felipe dos Santos,"""Lipe Detona""",8-1-0 (W-L-D)
,Oleksandr Doskalchuk,Flyweight,10-2-0 (W-L-D)
,Cedric Doumbe,Welterweight,0-0-0 (W-L-D)
,John Dowdy,,0-0-0 (W-L-D)
"""Danny Boy""",Dan Downes,"""Danny Boy""",8-3-0 (W-L-D)
"""The Gentleman""",Derek Downey,"""The Gentleman""",10-4-0 (W-L-D)
,Kyle Driscoll,Featherweight,12-3-0 (W-L-D)
"""Gorilla""",Tomasz Drwal,"""Gorilla""",17-4-0 (W-L-D)
,Robert Drysdale,Light Heavyweight,7-0-0 (W-L-D)
"""Stillknocks""",Dricus Du Plessis,"""Stillknocks""",21-2-0 (W-L-D)
,Hugo Duarte,Heavyweight,0-0-0 (W-L-D)
,Todd Duffee,Heavyweight,9-3-0 (W-L-D)
"""Irish""",Joe Duffy,"""Irish""",16-5-0 (W-L-D)
"""The Midwest Choppa""",Isaac Dulgarian,"""The Midwest Choppa""",6-1-0 (W-L-D)
"""Psycho Kelly""",Kelly Dullanty,"""Psycho Kelly""",4-1-0 (W-L-D)
"""The Reaper""",Sedriques Dumas,"""The Reaper""",9-2-0 (W-L-D)
"""The Problem""",Chris Duncan,"""The Problem""",11-2-0 (W-L-D)
"""CLD""",Christian Leroy Duncan,"""CLD""",10-1-0 (W-L-D)
,Evan Dunham,Lightweight,18-8-1 (W-L-D)
"""Fire Kid""",Tom Duquesnoy,"""Fire Kid""",15-2-0 (W-L-D)
,Albert Duraev,Middleweight,16-5-0 (W-L-D)
,Reuben Duran,Bantamweight,8-5-1 (W-L-D)
,Cody Durden,Flyweight,16-5-1 (W-L-D)
"""Besouro""",Luiz Dutra,"""Besouro""",11-4-1 (W-L-D)
"""The Perfect Storm""",Riley Dutro,"""The Perfect Storm""",14-4-0 (W-L-D)
"""The Machine""",Merab Dvalishvili,"""The Machine""",17-4-0 (W-L-D)
"""Undertaker""",David Dvorak,"""Undertaker""",20-6-0 (W-L-D)
,Matt Dwyer,Welterweight,8-4-0 (W-L-D)
"""Dy Incredible""",Rolando Dy,"""Dy Incredible""",9-6-1 (W-L-D)
,Ben Earwood,Welterweight,0-0-0 (W-L-D)
"""The Freight Train""",Cody East,"""The Freight Train""",12-3-0 (W-L-D)
"""The Beastman""",Marvin Eastman,"""The Beastman""",15-8-1 (W-L-D)
"""The Hulk""",Mike Easton,"""The Hulk""",13-5-0 (W-L-D)
"""Bad Boy""",Brian Ebersole,"""Bad Boy""",51-17-1 (W-L-D)
"""The Unbroken""",Roybert Echeverria,"""The Unbroken""",0-1-0 (W-L-D)
,Mark Eddiva,Featherweight,6-3-0 (W-L-D)
"""The Answer""",Frankie Edgar,"""The Answer""",23-11-1 (W-L-D)
,Abdul-Kerim Edilov,Light Heavyweight,16-4-0 (W-L-D)
,Johnny Eduardo,Bantamweight,28-13-0 (W-L-D)
"""Tango""",Te Edwards,"""Tango""",6-3-0 (W-L-D)
,Adli Edwards,Featherweight,0-0-0 (W-L-D)
"""Fast Eddy""",Justin Edwards,"""Fast Eddy""",9-5-0 (W-L-D)
,Yves Edwards,Lightweight,42-22-1 (W-L-D)
"""Rocky""",Leon Edwards,"""Rocky""",22-3-0 (W-L-D)
"""The Tank""",Tom Egan,"""The Tank""",4-1-0 (W-L-D)
,Justin Eilers,Heavyweight,9-5-1 (W-L-D)
"""The Viking""",John-Olav Einemo,"""The Viking""",6-3-0 (W-L-D)
,Per Eklund,Lightweight,15-4-1 (W-L-D)
"""The Phenom """,Evan Elder,"""The Phenom """,8-2-0 (W-L-D)
,Joao Elias,Flyweight,0-1-0 (W-L-D)
"""The Damage""",Darren Elkins,"""The Damage""",28-11-0 (W-L-D)
"""Excalibur""",Joe Ellenberger,"""Excalibur""",15-2-0 (W-L-D)
"""The Juggernaut""",Jake Ellenberger,"""The Juggernaut""",31-15-0 (W-L-D)
"""The Welsh Gangster""",Oban Elliott,"""The Welsh Gangster""",10-2-0 (W-L-D)
,Tim Elliott,Bantamweight,21-13-1 (W-L-D)
,Brian Ellis,Heavyweight,0-0-0 (W-L-D)
"""Camchida""",Cameron Else,"""Camchida""",10-6-0 (W-L-D)
"""Gorets""",Ramazan Emeev,"""Gorets""",20-6-0 (W-L-D)
,Rob Emerson,Lightweight,11-9-0 (W-L-D)
,Freddy Emiliano Linares,Featherweight,0-1-0 (W-L-D)
"""Pretty Boy""",Jamall Emmers,"""Pretty Boy""",20-8-0 (W-L-D)
"""CC0 (C-C-OH)""",Josh Emmett,"""CC0 (C-C-OH)""",19-4-0 (W-L-D)
,Kolton Englund,Lightweight,0-1-0 (W-L-D)
"""The Future""",Oliver Enkamp,"""The Future""",7-1-0 (W-L-D)
,Alex Enlund,Featherweight,14-2-0 (W-L-D)
"""Enty""",Ian Entwistle,"""Enty""",9-3-0 (W-L-D)
"""Lionheart""",Andy Enz,"""Lionheart""",8-3-0 (W-L-D)
"""Astroboy""",Steve Erceg,"""Astroboy""",12-2-0 (W-L-D)
"""The Russian Bear""",Konstantin Erokhin,"""The Russian Bear""",9-3-0 (W-L-D)
"""Juicy J""",Julian Erosa,"""Juicy J""",29-12-0 (W-L-D)
,Jarno Errens,Featherweight,14-5-1 (W-L-D)
"""Apache Kid""",Cole Escovedo,"""Apache Kid""",17-9-0 (W-L-D)
"""Hecho en México""",Efrain Escudero,"""Hecho en México""",25-11-0 (W-L-D)
"""El Guapo""",Juan Espino,"""El Guapo""",11-2-0 (W-L-D)
,Jordan Espinosa,Flyweight,15-9-0 (W-L-D)
"""Macapa""",Rafael Estevam,"""Macapa""",12-0-0 (W-L-D)
,Achilles Estremadura,Lightweight,0-1-0 (W-L-D)
,Shaun Etchell,Flyweight,0-1-0 (W-L-D)
,Terry Etim,Lightweight,15-5-0 (W-L-D)
,Fred Ettish,,0-0-0 (W-L-D)
,Doug Evans,Lightweight,6-2-0 (W-L-D)
"""Suga""",Rashad Evans,"""Suga""",24-8-1 (W-L-D)
"""The Viking""",Dan Evensen,"""The Viking""",10-4-0 (W-L-D)
,Movsar Evloev,Featherweight,18-0-0 (W-L-D)
"""Mr. Highlight""",Andre Ewell,"""Mr. Highlight""",17-9-0 (W-L-D)
"""Falo""",Edward Faaloloto,"""Falo""",5-3-0 (W-L-D)
"""The California Kid""",Urijah Faber,"""The California Kid""",35-11-0 (W-L-D)
,Wagnney Fabiano,Featherweight,14-2-0 (W-L-D)
"""The Butcher""",Bartosz Fabinski,"""The Butcher""",15-5-0 (W-L-D)
,Ron Faircloth,Light Heavyweight,0-0-0 (W-L-D)
,Jason Fairn,,0-0-0 (W-L-D)
"""Gladiator""",Rinat Fakhretdinov,"""Gladiator""",21-1-1 (W-L-D)
"""Pedrinho""",Pedro Falcao,"""Pedrinho""",16-4-0 (W-L-D)
"""Big Rig""",Maiquel Falcao,"""Big Rig""",26-3-0 (W-L-D)
,Brodie Farber,Welterweight,13-5-0 (W-L-D)
,Jair Farias,Featherweight,0-0-0 (W-L-D)
,Rico Farrington,Welterweight,0-0-0 (W-L-D)
"""The Irish Dragon""",Paul Felder,"""The Irish Dragon""",17-6-0 (W-L-D)
"""Boi""",Carlos Felipe,"""Boi""",11-2-0 (W-L-D)
"""Taz""",Josh Ferguson,"""Taz""",7-5-0 (W-L-D)
"""El Cucuy""",Tony Ferguson,"""El Cucuy""",26-10-0 (W-L-D)
,Kauê Fernandes,Lightweight,8-2-0 (W-L-D)
,CJ Fernandes,Welterweight,0-0-0 (W-L-D)
,Lucas Fernando,Middleweight,0-1-0 (W-L-D)
,Erisson Ferreira,Flyweight,1-1-0 (W-L-D)
,Diego Ferreira,Lightweight,19-5-0 (W-L-D)
"""Mutante""",Cezar Ferreira,"""Mutante""",14-8-0 (W-L-D)
"""Cacareco""",Alexandre Ferreira,"""Cacareco""",18-7-0 (W-L-D)
,Brunno Ferreira,Middleweight,12-1-0 (W-L-D)
,Scott Ferrozzo,Heavyweight,0-0-0 (W-L-D)
,Timo Feucht,Light Heavyweight,0-0-0 (W-L-D)
,Andre Fialho,Welterweight,16-8-0 (W-L-D)
"""The Master""",Drew Fickett,"""The Master""",31-5-0 (W-L-D)
,Scott Fielder,,0-0-0 (W-L-D)
,Test Fighter2,Middleweight,0-0-0 (W-L-D)
"""Mad Dog """,Michal Figlak,"""Mad Dog """,8-2-0 (W-L-D)
"""Sniper""",Francisco Figueiredo,"""Sniper""",13-5-1 (W-L-D)
"""Deus da Guerra""",Deiveson Figueiredo,"""Deus da Guerra""",23-3-1 (W-L-D)
"""El Feroz""",Edwin Figueroa,"""El Feroz""",9-4-0 (W-L-D)
"""Pastor""",Jafel Filho,"""Pastor""",16-3-0 (W-L-D)
"""Touchy""",Andre Fili,"""Touchy""",23-11-0 (W-L-D)
,Luigi Fioravanti,Welterweight,13-5-0 (W-L-D)
,Nick Fiore,Lightweight,6-2-0 (W-L-D)
"""The King""",Spencer Fisher,"""The King""",25-9-0 (W-L-D)
,Chris Fishgold,Featherweight,18-4-1 (W-L-D)
,Jon Fitch,Welterweight,27-5-1 (W-L-D)
,Isi Fitikefu,Light Heavyweight,0-0-0 (W-L-D)
"""Ataman""",Rafael Fiziev,"""Ataman""",12-3-0 (W-L-D)
"""The Ghost""",AJ Fletcher,"""The Ghost""",10-3-0 (W-L-D)
"""The Freakshow""",Colin Fletcher,"""The Freakshow""",9-3-0 (W-L-D)
"""The Brick""",Jimmy Flick,"""The Brick""",17-7-0 (W-L-D)
,Ty Flores,Light Heavyweight,0-1-0 (W-L-D)
,Alejandro Flores,Featherweight,0-1-0 (W-L-D)
,Luke Flores,Lightweight,7-2-0 (W-L-D)
"""KenFlo""",Kenny Florian,"""KenFlo""",16-6-0 (W-L-D)
"""Beastmode""",Darrius Flowers,"""Beastmode""",12-7-1 (W-L-D)
"""The Future""",Caros Fodor,"""The Future""",7-3-0 (W-L-D)
,Rob Font,Bantamweight,20-8-0 (W-L-D)
,Jesse Forbes,Middleweight,13-6-0 (W-L-D)
,Jussier Formiga,Flyweight,23-8-0 (W-L-D)
"""Maozinha""",Marcel Fortuna,"""Maozinha""",9-3-0 (W-L-D)
,Brian Foster,Welterweight,17-5-0 (W-L-D)
"""The Professor X""",Xavier Foupa-Pokam,"""The Professor X""",20-11-0 (W-L-D)
"""Nego""",Glaico Franca,"""Nego""",14-5-0 (W-L-D)
"""The Unreal""",Hermes Franca,"""The Unreal""",20-8-0 (W-L-D)
"""Don't Blink""",Kai Kara-France,"""Don't Blink""",24-11-0 (W-L-D)
"""Ace""",Rich Franklin,"""Ace""",29-7-0 (W-L-D)
"""The Grizzlybear""",Justin Frazier,"""The Grizzlybear""",0-1-0 (W-L-D)
"""Nasty""",Zane Frazier,"""Nasty""",0-2-0 (W-L-D)
"""The Machine""",Ian Freeman,"""The Machine""",14-6-1 (W-L-D)
"""Chiquerim""",Willamy Freire,"""Chiquerim""",17-4-0 (W-L-D)
,Donavon Frelow,Bantamweight,6-3-0 (W-L-D)
,Josh Fremd,Middleweight,11-5-0 (W-L-D)
"""The SteamRolla""",Matt Frevola,"""The SteamRolla""",11-4-1 (W-L-D)
