Nickname,Name,Weight Class,Record
"""Mr. 200%""",Yoji Anjo,"""Mr. 200%""",0-0-0 (W-L-D)
,Magomed Ankalaev,Light Heavyweight,19-1-1 (W-L-D)
,Gadzhimurad Antigulov,Light Heavyweight,20-8-0 (W-L-D)
"""Captain Chaos""",Adam Antolin,"""Captain Chaos""",13-3-0 (W-L-D)
"""8th Wonder""",Zu Anyanwu,"""8th Wonder""",14-5-0 (W-L-D)
"""Smiley""",Wang Anying,"""Smiley""",2-2-0 (W-L-D)
"""Animal""",Shinsho Anzai,"""Animal""",10-2-0 (W-L-D)
"""The Mongolian Murderer""",Aoriqileng,"""The Mongolian Murderer""",25-10-0 (W-L-D)
,Josh Appelt,Heavyweight,15-7-0 (W-L-D)
,Romie Aram,Welterweight,6-0-0 (W-L-D)
"""Sertanejo""",Felipe Arantes,"""Sertanejo""",18-9-1 (W-L-D)
,Igor Araujo,Welterweight,25-8-0 (W-L-D)
,Julio Arce,Featherweight,19-6-0 (W-L-D)
"""One Punch""",Carrese Archer,"""One Punch""",0-0-0 (W-L-D)
"""The Determined""",Dan Argueta,"""The Determined""",9-2-0 (W-L-D)
,Rheza Arianto,Featherweight,0-0-0 (W-L-D)
,Hashem Arkhagha,Middleweight,0-1-0 (W-L-D)
"""The Pit Bull""",Andrei Arlovski,"""The Pit Bull""",34-23-0 (W-L-D)
,Garrett Armfield,Bantamweight,10-3-0 (W-L-D)
"""Golden Boy""",Austin Arnett,"""Golden Boy""",16-6-0 (W-L-D)
,Eli Aronov,Middleweight,0-1-0 (W-L-D)
"""El Caballero""",Akbarh Arreola,"""El Caballero""",23-9-1 (W-L-D)
,Antonio Arroyo,Middleweight,9-5-0 (W-L-D)
"""No Regard""",Matt Arroyo,"""No Regard""",3-3-0 (W-L-D)
"""Goku""",Cesar Arzamendia,"""Goku""",7-4-0 (W-L-D)
,Teddy Ash,Middleweight,0-0-0 (W-L-D)
,Arman Ashimov,Flyweight,0-0-0 (W-L-D)
"""Red Fox""",Yanal Ashmouz,"""Red Fox""",7-1-0 (W-L-D)
"""AK-47""",Askar Askar,"""AK-47""",11-1-0 (W-L-D)
"""Bullet""",Askar Askarov,"""Bullet""",14-1-1 (W-L-D)
"""Silverback""",Cyril Asker,"""Silverback""",9-4-0 (W-L-D)
"""Nohcho""",Khusein Askhabov,"""Nohcho""",23-1-0 (W-L-D)
,Scott Askham,Middleweight,14-4-0 (W-L-D)
"""Funky""",Ben Askren,"""Funky""",19-2-0 (W-L-D)
"""The Last Ottoman""",Ibo Aslan,"""The Last Ottoman""",13-1-0 (W-L-D)
,Tom Aspinall,Heavyweight,14-3-0 (W-L-D)
,Bruno Assis,Middleweight,0-0-0 (W-L-D)
,Junior Assuncao,Featherweight,14-5-0 (W-L-D)
,Raphael Assunção,Bantamweight,28-10-0 (W-L-D)
"""The Raging Bull""",Rich Attonito,"""The Raging Bull""",10-5-0 (W-L-D)
"""The Canadian Gangster""",Olivier Aubin-Mercier,"""The Canadian Gangster""",12-5-0 (W-L-D)
"""Awesomely Awesome""",Pat Audinwood,"""Awesomely Awesome""",9-2-1 (W-L-D)
,Jose Augusto,Light Heavyweight,0-0-0 (W-L-D)
,Leonardo Augusto Leleco,Middleweight,11-3-0 (W-L-D)
"""Maximus""",Marcus Aurelio,"""Maximus""",18-8-0 (W-L-D)
,Chris Avila,Featherweight,5-4-0 (W-L-D)
,Jessin Ayari,Lightweight,16-6-0 (W-L-D)
"""Bulldozer""",Ottman Azaitar,"""Bulldozer""",13-2-0 (W-L-D)
"""Captain Morocco""",Abu Azaitar,"""Captain Morocco""",14-4-1 (W-L-D)
,Hunter Azure,Bantamweight,9-2-0 (W-L-D)
,Niklas Backstrom,Featherweight,8-2-0 (W-L-D)
"""Polish Pistola""",Seth Baczynski,"""Polish Pistola""",18-11-0 (W-L-D)
,Abdul Azeem Badakhshi,Featherweight,0-0-0 (W-L-D)
"""Darth""",Ryan Bader,"""Darth""",22-5-0 (W-L-D)
"""Caramel Thunder""",Miguel Baeza,"""Caramel Thunder""",10-4-0 (W-L-D)
"""Puncher""",Ali Bagautinov,"""Puncher""",14-5-0 (W-L-D)
"""The Sultan""",Mehdi Baghdad,"""The Sultan""",11-4-0 (W-L-D)
"""The Gun""",Melsik Baghdasaryan,"""The Gun""",8-2-0 (W-L-D)
"""The Great""",Siyar Bahadurzada,"""The Great""",24-8-1 (W-L-D)
"""La Jaula""",Ignacio Bahamondes,"""La Jaula""",15-5-0 (W-L-D)
,Shamar Bailey,Lightweight,12-5-0 (W-L-D)
,Scott Baker,,0-0-0 (W-L-D)
"""Holy War Angel""",Oluwale Bamgbose,"""Holy War Angel""",6-4-0 (W-L-D)
"""Bomba""",Marcin Bandel,"""Bomba""",13-4-0 (W-L-D)
,Humberto Bandenay,Featherweight,14-7-0 (W-L-D)
"""The Korean Cowboy""",Tae Hyun Bang,"""The Korean Cowboy""",18-10-0 (W-L-D)
,Antonio Banuelos,Bantamweight,19-7-0 (W-L-D)
"""The Baron""",Renan Barao,"""The Baron""",36-9-0 (W-L-D)
"""Bam Bam""",Bryan Barberena,"""Bam Bam""",18-12-0 (W-L-D)
"""Junior""",Edson Barboza,"""Junior""",24-12-0 (W-L-D)
,Raoni Barcelos,Bantamweight,18-5-0 (W-L-D)
,Carlos Baretto,Heavyweight,0-0-0 (W-L-D)
,Daniel Barez,Flyweight,16-6-0 (W-L-D)
"""LeftHand2God""",Danny Barlow,"""LeftHand2God""",8-0-0 (W-L-D)
"""The Bigslow""",Luke Barnatt,"""The Bigslow""",8-3-0 (W-L-D)
"""Mooka""",James Barnes,"""Mooka""",0-1-0 (W-L-D)
