name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Cody Law,4,4,0,175.26,65.77083999999999,175.26,,,,,,,,,,,United States,,4-4-0.,0.5,Peso Leve
Luis Palomino,26,26,0,172.72,65.77083999999999,172.72,,,,,,,,,,,Peru,Jackson-Wink MMA,26-26-0.,0.5,Peso Leve
Theodore Macuka,1,1,0,182.88,65.77083999999999,182.88,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Leve
Alka Matewa,3,3,0,182.88,71.213944,182.88,,,,,,,,,,,Belgium,Xtreme Couture Toronto,3-3-0.,0.5,Peso Meio-Médio
Max Humphrey,3,3,0,180.34,77.11064,180.34,,,,,,,,,,,United States,,3-3-0.,0.5,Peso Meio-Médio
Joo Hwan Kim,6,6,0,0.0,61.23492,0.0,,,,,,,,,,,South Korea,Octagon Multi Gym,6-6-0.,0.5,Peso Galo
Joseph Bryant,4,4,0,0.0,0.0,0.0,,,,,,,,,,,,,4-4-0.,0.5,Peso Palha
Daichi Takenaka,13,13,0,165.1,59.874144,165.1,,,,,,,,,,,Japan,Paraestra Izumi,13-13-0.,0.5,Peso Galo
Ben Royle,5,5,0,0.0,65.77083999999999,0.0,,,,,,,,,,,England,Phuket Top Team,5-5-0.,0.5,Peso Leve
Carlston Lindsay Harris,16,16,0,182.88,77.11064,182.88,,,,,,,,,,,Guyana,Renovacao Fight Team,16-16-0.,0.5,Peso Meio-Médio
Eric Kriegermeier,3,3,0,175.26,70.30676,175.26,,,,,,,,,,,United States,Ascension Mixed Martial Arts,3-3-0.,0.5,Peso Leve
Genair da Silva,15,15,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Brazil,Renovacao Fight Team,15-15-0.,0.5,Peso Leve
Derigun Yi,1,1,0,0.0,70.30676,0.0,,,,,,,,,,,China,Hunters League Fighting Club,1-1-0.,0.5,Peso Leve
Alexey Oleynik,59,59,0,187.96,103.418976,187.96,,,,,,,,,,,Russia,Oleynik Team,59-59-0.,0.5,Peso Pesado
Vince Lucero,22,22,0,187.96,136.0776,187.96,,,,,,,,,,,United States,Asher Combat Academy,22-22-0.,0.5,Peso Pesado
Ignacio Ortiz,2,2,0,172.72,65.77083999999999,172.72,,,,,,,,,,,United States,Crispim BJJ,2-2-0.,0.5,Peso Leve
Paradise Vaovasa,6,6,0,170.18,70.30676,170.18,,,,,,,,,,,United States,Dragon House MMA,6-6-0.,0.5,Peso Leve
May Ooi,4,4,0,0.0,52.16308,0.0,,,,,,,,,,,Singapore,Brazilian Fight Club MMA,4-4-0.,0.5,Peso Mosca
Renato Valente Alves,8,8,0,180.34,83.91452,180.34,,,,,,,,,,,Brazil,Rio Fighters,8-8-0.,0.5,Peso Médio
Ray Wood,8,8,0,172.72,65.77083999999999,172.72,,,,,,,,,,,United States,Revolution MMA,8-8-0.,0.5,Peso Leve
Mike Ortega,2,2,0,187.96,96.615096,187.96,,,,,,,,,,,United States,Cung Le's AKA,2-2-0.,0.5,Peso Pesado
