name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Daniel McWilliams,15,37,0,185.42,83.91,185.42,,,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,,,15-37-0.,0.28846153846153844,Peso Médio
Dan Molina,13,9,0,177.8,97.98,177.8,,,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,,,13-9-0.,0.5909090909090909,Peso Pesado
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,1994-09-29,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,,,8-2-0.,0.8,Peso Médio
Isaiah Hill,5,7,1,177.8,70.31,177.8,,,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,,,5-7-1.,0.4230769230769231,Peso Leve
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,,,4-7-0.,0.36363636363636365,Peso Médio
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1982-10-21,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,,,9-3-0.,0.75,Peso Leve
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,,,5-0-0.,1.0,Peso Médio
Kenny Ento,14,15,0,187.96,87.09,187.96,,,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,,,14-15-0.,0.4827586206896552,Peso Meio-Pesado
AJ McKee,8,0,0,177.8,65.77,177.8,,,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,,,8-0-0.,1.0,Peso Leve
Philip Perez,7,5,1,165.1,70.31,165.1,Southpaw,,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,,,7-5-1.,0.5769230769230769,Peso Leve
Brandon Shuey,7,6,0,170.18,70.31,170.18,Orthodox,1976-02-01,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,,,7-6-0.,0.5384615384615384,Peso Leve
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,1980-01-12,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,,,13-7-0.,0.65,Peso Médio
Johnny Sampaio,3,1,0,172.72,77.11,172.72,Orthodox,1975-09-11,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,,,3-1-0.,0.75,Peso Meio-Médio
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,1992-05-08,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,,,6-2-0.,0.75,Peso Mosca
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,1994-03-24,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,,,6-1-0.,0.8571428571428571,Peso Médio
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,180.34,Orthodox,,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,,,7-9-0.,0.4375,Peso Meio-Pesado
Daniel Puder,8,0,0,190.5,106.59,190.5,Orthodox,1981-10-09,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,,,8-0-0.,1.0,Peso Pesado
Yukio Sakaguchi,6,7,0,175.26,83.91,175.26,Orthodox,1973-07-26,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,,,6-7-0.,0.46153846153846156,Peso Médio
Magomed Sultanakhmedov,18,6,0,187.96,83.91,187.96,Southpaw,,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,,,18-6-0.,0.75,Peso Médio
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,1977-08-26,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,,,10-3-0.,0.7692307692307693,Peso Meio-Médio
J.T Taylor,7,7,0,177.8,--,177.8,,,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,,,7-7-0.,0.5,
Bobby McAndrews,1,3,0,179.91666666666666,--,179.91666666666666,Orthodox,,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,,,1-3-0.,0.25,
Jeremiah Constant,11,8,0,185.42,108.86,185.42,Orthodox,1974-07-19,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,,,11-8-0.,0.5789473684210527,Peso Pesado
Eddy Millis,0,2,0,185.42,83.91,185.42,,,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,,,0-2-0.,0.0,Peso Médio
Mikhail Iloukhine,30,11,1,175.26,92.99,175.26,Orthodox,1966-11-21,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,,,30-11-1.,0.7261904761904762,Peso Meio-Pesado
Kyle Jensen,4,11,2,175.26,77.11,175.26,Orthodox,1979-07-20,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,,,4-11-2.,0.29411764705882354,Peso Meio-Médio
Trevor Harris,2,2,0,167.64,65.77,167.64,,,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,,,2-2-0.,0.5,Peso Leve
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,2001-08-12,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,,,4-2-0.,0.6666666666666666,Peso Leve
Tom Erikson,9,4,1,190.5,127.01,190.5,Orthodox,,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,,,9-4-1.,0.6785714285714286,Peso Pesado
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,1991-01-30,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,,,20-10-1.,0.6612903225806451,Peso Leve
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1990-02-10,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,,,11-0-0.,1.0,Peso Pesado
Masakatsu Funaki,39,13,2,182.88,83.91,182.88,Southpaw,1969-03-13,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,,,39-13-2.,0.7407407407407407,Peso Médio
Diego Lopes,23,6,0,180.34,65.77,182.88,Orthodox,1994-12-30,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,,,23-6-0.,0.7931034482758621,Peso Leve
Magno Almeida,10,3,0,182.88,70.31,182.88,,,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,,,10-3-0.,0.7692307692307693,Peso Leve
Ronaldo Candido,6,0,0,167.64,56.7,167.64,Southpaw,1989-04-24,1.67,42.0,3.87,52.0,8.0,53.0,0.0,5.0,,,6-0-0.,1.0,Peso Mosca
Billy Pasulatan,10,3,0,165.1,56.7,167.64,Switch,1991-08-07,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,,,10-3-0.,0.7692307692307693,Peso Mosca
Shohei Nose,10,4,2,167.64,61.23,172.72,Switch,1997-10-19,2.48,40.0,3.61,53.0,3.23,17.0,0.0,4.8,,,10-4-2.,0.6875,Peso Galo
TJ Waldburger,16,9,0,180.34,77.11,190.5,Orthodox,1988-04-25,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,,,16-9-0.,0.64,Peso Meio-Médio
Nik Theotikos,6,2,0,176.19742198100408,83.91,176.19742198100408,Orthodox,,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,,,6-2-0.,0.75,Peso Médio
Valentijn Overeem,30,32,0,190.5,104.33,190.5,Orthodox,1976-08-17,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,,,30-32-0.,0.4838709677419355,Peso Pesado
Takeru Uchida,6,1,0,165.1,56.7,172.72,Southpaw,2002-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,,,6-1-0.,0.8571428571428571,Peso Mosca
Joe Pearson,45,30,1,177.8,65.77,177.8,Orthodox,1978-03-28,0.59,18.0,3.51,33.0,0.0,0.0,0.0,4.4,,,45-30-1.,0.5986842105263158,Peso Leve
Masakatsu Okuda,8,5,0,179.91666666666666,--,179.91666666666666,,,0.0,0.0,4.27,34.0,0.0,0.0,0.0,4.3,,,8-5-0.,0.6153846153846154,
Bret Bergmark,6,1,1,175.26,77.11,175.26,,,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2,,,6-1-1.,0.8125,Peso Meio-Médio
Yasuhito Namekawa,25,16,4,175.26,92.99,175.26,Orthodox,1974-10-27,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,,,25-16-4.,0.6,Peso Meio-Pesado
Jeremy Lang,21,2,0,180.34,92.99,180.34,Southpaw,1975-05-11,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,,,21-2-0.,0.9130434782608695,Peso Meio-Pesado
Rene Kronvold,5,1,0,172.72,77.11,172.72,Orthodox,,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,,,5-1-0.,0.8333333333333334,Peso Meio-Médio
Victor Hugo,24,4,0,170.18,61.23,180.34,Orthodox,1992-11-22,1.24,34.0,1.1,65.0,2.06,50.0,66.0,4.1,,,24-4-0.,0.8571428571428571,Peso Galo
Karine Silva,17,4,0,165.1,56.7,170.18,Orthodox,1993-12-02,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,,,17-4-0.,0.8095238095238095,Peso Mosca
HanSeul Kim,13,5,0,185.42,77.11,187.96,Southpaw,1990-06-19,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,,,13-5-0.,0.7222222222222222,Peso Meio-Médio
Marcus Hicks,10,4,0,167.64,70.31,162.56,Southpaw,1975-11-25,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,,,10-4-0.,0.7142857142857143,Peso Leve
Ralph Gracie,6,1,0,175.26,83.01,175.26,Orthodox,,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,,,6-1-0.,0.8571428571428571,Peso Médio
Charlie Kohler,8,4,1,175.26,70.31,175.26,Orthodox,1976-07-16,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,,,8-4-1.,0.6538461538461539,Peso Leve
Aliaskhab Khizriev,14,0,0,175.26,83.91,187.96,Southpaw,1990-08-24,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,,,14-0-0.,1.0,Peso Médio
Torrez Finney,7,0,0,172.72,83.91,190.5,Orthodox,1998-10-24,0.91,58.0,2.33,47.0,13.61,63.0,0.0,3.9,,,7-0-0.,1.0,Peso Médio
Abongo Humphrey,7,3,0,180.34,92.99,180.34,Orthodox,,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,,,7-3-0.,0.7,Peso Meio-Pesado
Antonio Trocoli,12,3,0,195.58,92.99,208.28,Orthodox,1990-12-06,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,,,12-3-0.,0.8,Peso Meio-Pesado
Gabriel Bonfim,15,1,0,185.42,77.11,182.88,Orthodox,1997-08-20,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,,,15-1-0.,0.9375,Peso Meio-Médio
Assu Almabayev,18,2,0,162.56,56.7,165.1,Orthodox,1994-01-25,3.18,65.0,0.49,77.0,3.67,40.0,0.0,3.7,,,18-2-0.,0.9,Peso Mosca
Nyamjargal Tumendemberel,8,0,0,170.18,56.7,180.34,Orthodox,1998-03-22,4.43,44.0,3.62,45.0,4.68,38.0,14.0,3.7,,,8-0-0.,1.0,Peso Mosca
Jaqueline Amorim,7,1,0,160.02,52.16,172.72,Orthodox,1995-06-24,3.42,52.0,1.81,62.0,1.57,23.0,0.0,3.7,,,7-1-0.,0.875,Peso Mosca
HyunSung Park,8,0,0,170.18,56.7,167.64,Orthodox,1995-11-04,3.51,48.0,2.62,59.0,2.23,30.0,100.0,3.7,,,8-0-0.,1.0,Peso Mosca
Brady Fink,2,3,0,182.88,83.01,182.88,Orthodox,,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6,,,2-3-0.,0.4,Peso Médio
Daisuke Nakamura,28,19,1,170.18,69.85,170.18,Orthodox,1980-06-10,0.94,30.0,1.38,61.0,0.46,40.0,30.0,3.6,,,28-19-1.,0.59375,Peso Leve
Ken Kaneko,0,3,0,182.88,73.03,182.88,Orthodox,,0.0,0.0,0.94,42.0,0.0,0.0,0.0,3.5,,,0-3-0.,0.0,Peso Meio-Médio
Rolando Delgado,11,6,1,190.5,70.31,195.58,Orthodox,1981-11-22,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,,,11-6-1.,0.6388888888888888,Peso Leve
Junie Browning,5,6,0,175.26,70.31,175.26,Orthodox,1984-05-12,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5,,,5-6-0.,0.45454545454545453,Peso Leve
Mike Budnik,13,4,0,175.26,65.77,172.72,Orthodox,1974-08-08,0.65,52.0,0.95,53.0,0.0,0.0,0.0,3.4,,,13-4-0.,0.7647058823529411,Peso Leve
Zhang Tiequan,15,4,0,172.72,70.31,175.26,Orthodox,1978-07-25,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,,,15-4-0.,0.7894736842105263,Peso Leve
Daisuke Sugie,10,8,1,167.64,72.57,167.64,Orthodox,,0.0,0.0,0.22,80.0,3.27,50.0,0.0,3.3,,,10-8-1.,0.5526315789473685,Peso Meio-Médio
Edwin DeWees,38,17,0,185.42,83.91,185.42,Orthodox,1982-08-07,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,,,38-17-0.,0.6909090909090909,Peso Médio
Ryuichi Murata,8,3,1,172.72,83.01,172.72,Orthodox,,0.84,36.0,1.89,50.0,4.74,50.0,100.0,3.2,,,8-3-1.,0.7083333333333334,Peso Médio
Roman Zentsov,18,12,0,185.42,104.33,185.42,Orthodox,1973-09-10,1.18,36.0,0.53,70.0,1.6,100.0,33.0,3.2,,,18-12-0.,0.6,Peso Pesado
Dmitry Sosnovskiy,11,0,0,190.5,108.86,195.58,Orthodox,1989-07-06,2.95,70.0,2.53,35.0,3.16,66.0,100.0,3.2,,,11-0-0.,1.0,Peso Pesado
Kevin Jousset,9,2,0,187.96,77.11,190.5,Orthodox,1993-05-02,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,,,9-2-0.,0.8181818181818182,Peso Meio-Médio
Eric Lawson,9,5,0,182.88,83.91,182.88,Orthodox,,1.58,57.0,1.97,44.0,8.88,42.0,0.0,3.0,,,9-5-0.,0.6428571428571429,Peso Médio
Samandar Murodov,8,0,0,185.42,77.11,190.5,Orthodox,1999-08-28,3.41,80.0,0.8,0.0,3.01,100.0,0.0,3.0,,,8-0-0.,1.0,Peso Meio-Médio
Katsuaki Furuki,1,1,0,182.88,76.2,182.88,,,0.27,10.0,2.67,39.0,0.0,0.0,0.0,3.0,,,1-1-0.,0.5,Peso Meio-Médio
Scott Shaffer,0,1,0,170.18,65.77,170.18,Orthodox,,2.4,67.0,0.53,50.0,0.0,0.0,72.0,3.0,,,0-1-0.,0.0,Peso Leve
Jan Nortje,2,6,0,185.42,140.61,185.42,Southpaw,1975-04-11,3.32,51.0,4.5,32.0,0.0,0.0,66.0,2.9,,,2-6-0.,0.25,Peso Pesado
Will Ribeiro,10,2,0,172.72,61.23,172.72,Orthodox,1983-02-17,1.83,28.0,1.64,74.0,1.15,100.0,50.0,2.9,,,10-2-0.,0.8333333333333334,Peso Galo
Tatsuro Taira,14,0,0,170.18,56.7,177.8,Orthodox,2000-01-27,3.23,69.0,1.26,47.0,2.41,41.0,60.0,2.8,,,14-0-0.,1.0,Peso Mosca
Shaheen Santana,6,1,0,185.42,70.31,190.5,Orthodox,1991-06-04,0.82,42.0,1.65,40.0,0.0,0.0,0.0,2.8,,,6-1-0.,0.8571428571428571,Peso Leve
Sam Patterson,10,2,1,190.5,70.31,198.12,Orthodox,1996-04-30,2.56,36.0,3.98,44.0,0.0,0.0,33.0,2.8,,,10-2-1.,0.8076923076923077,Peso Leve
Rei Tsuruya,8,0,0,167.64,56.7,172.72,Orthodox,2002-06-22,2.91,63.0,1.64,42.0,7.74,57.0,50.0,2.8,,,8-0-0.,1.0,Peso Mosca
Rinya Nakamura,8,0,0,170.18,61.23,172.72,Southpaw,1995-03-23,4.23,54.0,1.78,70.0,4.23,85.0,100.0,2.8,,,8-0-0.,1.0,Peso Galo
Abel Cullum,20,6,0,170.18,63.05,170.18,Orthodox,1987-04-21,1.82,40.0,1.23,46.0,4.01,52.0,0.0,2.8,,,20-6-0.,0.7692307692307693,Peso Pena
Andre Galvao,5,2,0,170.18,76.2,170.18,Orthodox,1982-09-29,2.34,52.0,1.56,58.0,2.02,27.0,0.0,2.8,,,5-2-0.,0.7142857142857143,Peso Meio-Médio
Carlton Jones,1,4,0,185.42,102.06,185.42,Orthodox,,2.32,41.0,3.58,56.0,4.02,50.0,57.0,2.7,,,1-4-0.,0.2,Peso Pesado
Jeff Bedard,13,3,0,167.64,65.77,167.64,Orthodox,1970-02-06,0.8,51.0,0.0,100.0,3.43,66.0,100.0,2.6,,,13-3-0.,0.8125,Peso Leve
Roybert Echeverria,7,1,0,165.1,56.7,170.18,Switch,1995-08-21,2.95,53.0,2.52,57.0,0.0,0.0,71.0,2.6,,,7-1-0.,0.875,Peso Mosca
Coty Wheeler,14,5,0,167.64,61.23,170.18,Orthodox,1978-10-11,1.88,22.0,3.16,59.0,0.87,37.0,33.0,2.6,,,14-5-0.,0.7368421052631579,Peso Galo
Lu Kai,8,5,0,175.26,65.77,175.26,Orthodox,1994-03-01,3.76,43.0,5.51,55.0,2.62,50.0,100.0,2.6,,,8-5-0.,0.6153846153846154,Peso Leve
Daniel Spohn,15,6,0,193.04,92.99,200.66,Southpaw,1984-10-12,2.42,49.0,1.6,53.0,0.0,0.0,28.0,2.5,,,15-6-0.,0.7142857142857143,Peso Meio-Pesado
Andre Petroski,10,3,0,182.88,83.91,185.42,Switch,1991-06-12,3.61,51.0,3.03,51.0,4.48,54.0,71.0,2.5,,,10-3-0.,0.7692307692307693,Peso Médio
Lumumba Sayers,6,5,0,182.88,83.91,182.88,,,2.54,41.0,2.37,48.0,7.63,75.0,0.0,2.5,,,6-5-0.,0.5454545454545454,Peso Médio
Thomas Petersen,8,1,0,185.42,119.75,187.96,Southpaw,1995-03-30,3.59,73.0,2.45,40.0,7.34,100.0,100.0,2.5,,,8-1-0.,0.8888888888888888,Peso Pesado
Phil Cardella,8,5,0,180.34,70.31,180.34,,,2.47,50.0,2.0,57.0,0.0,0.0,11.0,2.5,,,8-5-0.,0.6153846153846154,Peso Leve
Clayton Carpenter,7,0,0,167.64,56.7,167.64,Orthodox,1996-06-09,4.5,51.0,2.85,60.0,2.47,50.0,0.0,2.5,,,7-0-0.,1.0,Peso Mosca
Keisuke Fujiwara,17,12,5,167.64,63.05,167.64,Switch,,0.73,44.0,1.2,47.0,0.0,0.0,23.0,2.5,,,17-12-5.,0.5735294117647058,Peso Pena
Jailton Almeida,20,2,0,190.5,92.99,200.66,Orthodox,1991-06-26,2.78,64.0,0.52,43.0,5.14,55.0,75.0,2.4,,,20-2-0.,0.9090909090909091,Peso Meio-Pesado
Paddy Pimblett,20,3,0,177.8,70.31,185.42,Orthodox,1995-01-03,4.19,46.0,3.48,41.0,0.97,25.0,56.0,2.4,,,20-3-0.,0.8695652173913043,Peso Leve
Gabriel Miranda,17,6,0,180.34,65.77,180.34,Orthodox,1990-03-25,3.52,51.0,6.88,39.0,4.8,40.0,0.0,2.4,,,17-6-0.,0.7391304347826086,Peso Leve
JP Buys,9,6,0,165.1,61.23,170.18,Orthodox,1996-04-30,1.88,39.0,3.02,40.0,1.55,25.0,25.0,2.3,,,9-6-0.,0.6,Peso Galo
Nate Smith,6,1,0,167.64,56.7,175.26,Switch,1995-04-09,1.28,38.0,2.04,35.0,0.0,0.0,33.0,2.3,,,6-1-0.,0.8571428571428571,Peso Mosca
Jose Maria,37,7,0,165.1,56.7,165.1,Orthodox,1982-01-04,3.2,53.0,3.98,52.0,2.32,27.0,33.0,2.3,,,37-7-0.,0.8409090909090909,Peso Mosca
Yoshiki Takahashi,30,27,3,180.34,90.26,180.34,Southpaw,1969-03-13,2.26,51.0,6.47,44.0,0.0,0.0,66.0,2.3,,,30-27-3.,0.525,Peso Meio-Pesado
Ikram Aliskerov,15,1,0,182.88,83.91,193.04,Southpaw,1992-12-07,8.24,65.0,7.15,36.0,2.33,33.0,0.0,2.3,,,15-1-0.,0.9375,Peso Médio
Mike Joy,11,8,0,167.64,70.31,167.64,Southpaw,1985-07-18,0.57,33.0,1.71,47.0,0.78,33.0,0.0,2.3,,,11-8-0.,0.5789473684210527,Peso Leve
Kaynan Kruschewsky,15,2,0,182.88,70.31,185.42,Orthodox,1991-04-04,5.08,39.0,4.79,47.0,2.18,100.0,0.0,2.2,,,15-2-0.,0.8823529411764706,Peso Leve
Alex Gilpin,11,1,0,170.18,65.77,170.18,Orthodox,1992-03-26,6.8,54.0,12.29,42.0,2.17,25.0,0.0,2.2,,,11-1-0.,0.9166666666666666,Peso Leve
Hidehiko Yoshida,6,8,1,180.34,102.06,180.34,Orthodox,1969-09-03,1.05,36.0,1.89,62.0,1.09,33.0,71.0,2.2,,,6-8-1.,0.43333333333333335,Peso Pesado
Jose Landi-Jons,29,16,0,180.34,77.11,180.34,Orthodox,1973-09-09,0.99,40.0,0.77,43.0,2.2,80.0,40.0,2.2,,,29-16-0.,0.6444444444444445,Peso Meio-Médio
Mike Cook,13,13,0,185.42,92.99,185.42,Orthodox,,1.72,49.0,2.4,46.0,1.03,33.0,55.0,2.1,,,13-13-0.,0.5,Peso Meio-Pesado
Satoru Kitaoka,40,14,9,167.64,69.85,167.64,,,0.68,33.0,2.15,45.0,0.62,10.0,27.0,2.1,,,40-14-9.,0.7063492063492064,Peso Leve
Daermisi Zhawupasi,7,1,0,172.72,61.23,172.72,Switch,2000-03-13,1.24,51.0,2.75,34.0,6.19,75.0,64.0,2.1,,,7-1-0.,0.875,Peso Galo
Jeremiah Metcalf,13,7,0,185.42,83.91,185.42,Orthodox,,1.74,59.0,0.27,60.0,4.02,66.0,100.0,2.0,,,13-7-0.,0.65,Peso Médio
Charles Bennett,30,33,2,172.72,70.31,172.72,Orthodox,1979-11-23,1.39,39.0,1.35,64.0,2.02,100.0,36.0,2.0,,,30-33-2.,0.47692307692307695,Peso Leve
Kevin Syler,10,1,0,175.26,70.31,180.34,Switch,1993-07-29,5.6,69.0,4.03,48.0,1.0,40.0,77.0,2.0,,,10-1-0.,0.9090909090909091,Peso Leve
Kaik Brito,16,5,0,180.34,77.11,182.88,Orthodox,1997-03-26,2.8,38.0,3.87,55.0,0.0,0.0,55.0,2.0,,,16-5-0.,0.7619047619047619,Peso Meio-Médio
Josh Thornburg,8,8,0,182.88,77.11,182.88,,,1.2,50.0,3.13,38.0,2.0,66.0,42.0,2.0,,,8-8-0.,0.5,Peso Meio-Médio
Christian Lohsen,4,2,0,187.96,70.31,195.58,Southpaw,1995-01-24,5.27,49.0,6.93,44.0,0.0,0.0,0.0,2.0,,,4-2-0.,0.6666666666666666,Peso Leve
Eric Wray,5,1,0,182.88,77.11,182.88,Orthodox,,1.76,48.0,3.12,28.0,4.07,66.0,0.0,2.0,,,5-1-0.,0.8333333333333334,Peso Meio-Médio
Mariusz Ksiazkiewicz,8,1,0,190.5,83.91,190.5,Southpaw,1989-10-04,0.93,45.0,3.4,39.0,4.0,100.0,0.0,2.0,,,8-1-0.,0.8888888888888888,Peso Médio
Young Sam Jung,4,8,0,172.72,63.05,172.72,Orthodox,1985-10-27,0.53,9.0,2.79,63.0,0.0,0.0,0.0,2.0,,,4-8-0.,0.3333333333333333,Peso Pena
Luis Rodriguez,11,2,0,167.64,56.7,165.1,Orthodox,1999-05-07,1.27,37.0,3.2,54.0,2.0,50.0,100.0,2.0,,,11-2-0.,0.8461538461538461,Peso Mosca
Jarrod Kwitty,2,2,0,172.72,83.91,172.72,,,0.53,50.0,4.4,32.0,8.0,50.0,0.0,2.0,,,2-2-0.,0.5,Peso Médio
Tomoya Miyashita,17,9,7,170.18,63.05,170.18,Southpaw,,1.67,65.0,0.93,33.0,4.0,80.0,0.0,2.0,,,17-9-7.,0.6212121212121212,Peso Pena
Jack Cartwright,10,1,0,175.26,61.23,172.72,Orthodox,1994-05-26,0.8,38.0,3.33,29.0,6.0,66.0,0.0,2.0,,,10-1-0.,0.9090909090909091,Peso Galo
Jafel Filho,15,3,0,170.18,56.7,172.72,Orthodox,1993-05-05,2.0,37.0,2.31,45.0,1.53,27.0,55.0,2.0,,,15-3-0.,0.8333333333333334,Peso Mosca
Eric Esch,15,10,1,180.34,158.76,180.34,Orthodox,1968-08-03,3.07,71.0,1.74,43.0,0.0,0.0,0.0,2.0,,,15-10-1.,0.5961538461538461,Peso Pesado
Ivana Petrovic,6,1,0,172.72,56.7,177.8,Southpaw,1994-06-11,1.47,35.0,2.73,52.0,2.0,33.0,66.0,2.0,,,6-1-0.,0.8571428571428571,Peso Mosca
Kazuki Okubo,7,9,0,180.34,79.38,180.34,Orthodox,,1.53,38.0,1.97,46.0,0.51,25.0,36.0,2.0,,,7-9-0.,0.4375,Peso Médio
Eddy Ellis,21,16,1,175.26,77.11,175.26,Orthodox,,3.4,69.0,1.53,68.0,4.0,66.0,50.0,2.0,,,21-16-1.,0.5657894736842105,Peso Meio-Médio
Micah Miller,20,8,0,182.88,65.77,182.88,Orthodox,1987-02-14,1.33,33.0,2.15,54.0,0.98,37.0,21.0,2.0,,,20-8-0.,0.7142857142857143,Peso Leve
Allan Begosso,7,2,1,165.1,61.23,167.64,Orthodox,1995-11-23,1.8,40.0,7.73,34.0,0.0,0.0,25.0,2.0,,,7-2-1.,0.75,Peso Galo
Yuma Horiuchi,9,5,0,167.64,56.7,170.18,Switch,1997-09-22,3.73,30.0,5.0,35.0,2.0,16.0,0.0,2.0,,,9-5-0.,0.6428571428571429,Peso Mosca
Saidyokub Kakhramonov,10,3,0,172.72,61.23,175.26,Orthodox,1995-11-14,2.05,51.0,0.88,58.0,6.63,48.0,83.0,1.9,,,10-3-0.,0.7692307692307693,Peso Galo
Joachim Hansen,23,14,1,170.18,68.04,170.18,Southpaw,1979-05-26,2.01,43.0,2.04,58.0,2.21,58.0,34.0,1.9,,,23-14-1.,0.618421052631579,Peso Leve
Jon Delos Reyes,8,5,0,167.64,56.7,170.18,Orthodox,1987-08-19,2.99,38.0,4.14,51.0,3.2,83.0,55.0,1.9,,,8-5-0.,0.6153846153846154,Peso Mosca
Luke Stewart,6,3,0,180.34,77.11,180.34,Orthodox,,3.75,56.0,2.34,53.0,3.75,33.0,50.0,1.9,,,6-3-0.,0.6666666666666666,Peso Meio-Médio
Erick Wanderlei,3,3,0,185.42,92.99,185.42,Orthodox,,0.63,41.0,2.66,40.0,3.8,66.0,0.0,1.9,,,3-3-0.,0.5,Peso Meio-Pesado
Aleksei Oleinik,60,17,1,187.96,108.86,203.2,Orthodox,1977-06-20,3.29,48.0,3.8,44.0,1.82,46.0,37.0,1.9,,,60-17-1.,0.7756410256410257,Peso Pesado
Keisuke Sasu,11,3,1,165.1,65.77,175.26,Switch,1994-09-30,2.76,49.0,2.42,48.0,3.76,40.0,61.0,1.9,,,11-3-1.,0.7666666666666667,Peso Leve
Dan Argueta,9,2,0,170.18,61.23,172.72,Southpaw,1993-08-13,2.35,47.0,1.9,52.0,2.54,50.0,60.0,1.9,,,9-2-0.,0.8181818181818182,Peso Galo
Jeremy  Freitag,6,10,0,185.42,92.99,185.42,,,0.0,0.0,8.37,19.0,0.0,0.0,33.0,1.9,,,6-10-0.,0.375,Peso Meio-Pesado
